"","Year","MUNICIPALITY_NAME","Cattle....km2.","Pork.....km2.","Poultry....km2.","Crops....","Human.population....km2.","Distance.from.Montreal..km."
"86",1971,"Saint Nazaire dActon",53.66,"104.88",1195.78,63.22,15.9,88.72
"87",1971,"Saint Ours",45.42,"6.92",306.24,47.08,15.05,62.37
"88",1971,"Saint Patrice de Sherrington",24.14,"5.22",258,51.54,18.94,41.96
"89",1971,"Saint Paul dAbbotsford",22.93,"243.43",5022.71,38.41,22.94,65.21
"90",1971,"Saint Paul de lIle aux Noix",45.59,"12.32",39.84,58.83,30.13,53.19
"91",1971,"Saint Philippe",12.22,"10.98",345.22,78.97,NA,26.6
"92",1971,"Saint Pie",28.33,"128.86",2523.49,65.44,29.63,63.19
"93",1971,"Saint Pierre de Veronne a Pike River",63.43,"5.53",2563.05,63.61,13.96,66.91
"94",1971,"Saint Polycarpe",42.75,"8.27",82.58,78.28,17.98,55.02
"95",1971,"Saint Remi",18.1,"24.09",528.14,53.74,56.67,28.98
"96",1971,"Saint Robert",34.85,"48.1",413.24,43.3,21.24,76.2
"97",1971,"Saint Roch de Richelieu",16.23,"1.57",57.14,29.1,34.19,60.6
"98",1971,"Saint Sebastien",59.04,"22.14",692.8,58.76,13.05,60.24
"99",1971,"Saint Simon",42.15,"158.45",401.64,58.32,15.57,71.19
"100",1971,"Saint Stanislas de Kostka",41.78,"10.03",244.59,41.27,17.79,49.38
"101",1971,"Saint Telesphore",36.41,"8.74",41.52,52.81,12.34,61.32
"102",1971,"Saint Theodore dActon",48.89,"55.87",769.13,41.12,15.08,91.28
"103",1971,"Saint Valentin",46.86,"0.91",6.06,49.96,13.99,50.62
"104",1971,"Saint Valerien de Milton",52.88,"134.9",429.84,53.55,12.26,78.59
"105",1971,"Sainte Angele de Monnoir",42.85,"64.7",297.34,51.33,23.9,49.06
"106",1971,"Sainte Anne de Sabrevois",59.26,"6.23",344.63,43.11,24.19,50.21
"107",1971,"Sainte Barbe",44.22,"1.44",6.61,53.4,18.34,56.86
"108",1971,"Sainte Brigide dIberville",49.33,"67.42",483.86,54.13,16.21,54.61
"109",1971,"Sainte Cecile de Milton",35.59,"48.71",1051.59,35.42,16.07,74.52
"110",1971,"Sainte Christine",29.93,"9.79",708.76,26.52,7.4,102.05
"111",1971,"Sainte Clotilde de Chateauguay",16.52,"5.47",9.52,28.63,14.18,40.35
"112",1971,"Sainte Helene de Bagot",36.68,"108.42",2617.93,52.22,11.26,79.76
"113",1971,"Sainte Julie",26.81,"0",521.6,48.92,48.77,30.74
"114",1971,"Sainte Justine de Newton",24.34,"6.11",6.03,40.1,9.61,57.18
"115",1971,"Sainte Marie Madeleine",34.26,"4.81",821.17,71.21,12.85,49.89
"116",1971,"Sainte Marthe",30.43,"2.8",974.37,50.17,9.55,49.64
"117",1971,"Sainte Martine",52.79,"0.44",2.16,69.13,20.93,30.78
"118",1971,"Sainte Sabine",45.64,"39.66",166.72,46.52,11.21,62.08
"119",1971,"Sainte Victoire de Sorel",30.89,"31.32",41.81,30.58,19.21,69.77
"120",1971,"Salaberry de Valleyfield",36.97,"5.13",1.48,30.68,251.59,40.04
"121",1971,"Shefford",28.37,"12.51",537.61,16.37,14,90.93
"122",1971,"Sorel Tracy",9.73,"0.67",3.6,9.89,553.14,73.27
"123",1971,"Stanbridge East",33.18,"4.9",733.11,27.52,17.15,76.34
"124",1971,"Sutton",9.97,"2.47",72.82,7.81,10.26,100.52
"125",1971,"Tres Saint Redempteur",39.36,"55.34",2177.08,34.56,12.4,54.83
"126",1971,"Tres Saint Sacrement",50.77,"2.57",73.35,50.33,13.92,40.99
"127",1971,"Upton",71.31,"107.79",171.96,66.87,25.67,81.76
"128",1971,"Varennes",26.19,"0.69",31.88,49.88,55.05,30.64
"129",1971,"Vaudreuil Dorion",31.86,"49.62",84.73,46.66,88.03,32.7
"130",1971,"Vercheres",35.08,"2.57",25.89,48.66,39.62,39.5
"131",1971,"Yamaska",34.84,"13.35",247.37,34.52,16.62,83.22
"132",1976,"Acton Vale",31.13,"47.77",6.31,29.21,62.36,90.91
"133",1976,"Ange Gardien",51.33,"367.21",5757.73,50.07,18.22,65.29
"134",1976,"Beauharnois",25.94,"0.09",1.44,34.43,140.45,28.92
"135",1976,"Bedford",47.37,"90.34",4305.08,50.32,107.83,72.18
"136",1976,"Bethanie",42.17,"21.58",3.53,27.46,8.06,100.63
"137",1976,"Bolton Ouest",13.94,"4.79",9.13,8.67,4.93,104.47
"138",1976,"Boucherville",6.16,"0",2.43,31.45,347.01,23.69
"139",1976,"Brigham",26.47,"44.71",502.74,23.54,15.71,76.77
"140",1976,"Bromont",16.51,"31.32",133.15,13.05,15.06,83.1
"141",1976,"Calixa Lavallee",NA,NA,NA,NA,11.31,43.5
"142",1976,"Carignan",NA,NA,NA,NA,53.79,30.35
"143",1976,"Contrecoeur",11.82,"0.02",15.08,15.09,74.48,54.24
"144",1976,"Coteau du Lac",27.12,"0.06",31.57,38.24,27.28,45.58
"145",1976,"Dundee",30.64,"3",7.07,26.24,5.39,81.61
"146",1976,"Dunham",26.81,"13.74",777.69,24.62,16.29,83.27
"147",1976,"Elgin",30.41,"0.23",168.26,26.76,7.14,69.88
"148",1976,"Farnham",39.23,"17.87",748.66,35.35,81.48,63.75
"149",1976,"Franklin",24.7,"4.81",9.35,37.12,13.15,54.58
"150",1976,"Frelighsburg",10.06,"6.64",408.95,12.64,7.79,87.55
"151",1976,"Godmanchester",46.11,"0.97",71.52,41.5,11.77,64.82
"152",1976,"Granby",103.3,"149.28",2526.45,86.63,493.54,78.71
"153",1976,"Havelock",13.58,"0.4",419.95,16.92,8.24,53.51
"154",1976,"Hemmingford",19.15,"7",36.18,24.52,15.32,52.7
"155",1976,"Henryville",59.92,"90.17",10.99,59.15,20.5,56.76
"156",1976,"Hinchinbrooke",30.45,"1.41",5.75,26.55,12.01,61.28
"157",1976,"La Presentation",42.74,"204.72",2839.68,56.36,13.94,53.82
"158",1976,"Lac Brome",16.82,"14.62",617.21,12.95,18.97,94.39
"159",1976,"Lacolle",47.78,"0.38",162.33,39.12,41.63,56.42
"160",1976,"Les Cedres",23.98,"0.56",20.05,30.5,38.88,36.92
"161",1976,"Longueuil",3.34,"0",8.38,7.31,1593.83,20.69
"162",1976,"Marieville",71.01,"3.25",2.96,76.31,99.65,43.36
"163",1976,"Mont Saint Gregoire",36.97,"75.73",1429.99,46.47,17.69,47.8
"164",1976,"Mont Saint Hilaire",4.21,"0",288.5,19.44,150.69,42.17
"165",1976,"Notre Dame de Stanbridge",46.11,"16.98",994.86,48.85,18.13,63.95
"166",1976,"Noyan",61.41,"0.07",5.2,61.15,13.47,60.59
"167",1976,"Ormstown",37.3,"7.29",1875.7,41.86,10.15,50.44
"168",1976,"Richelieu",41.44,"0",2.64,64.67,82.27,38.89
"169",1976,"Rigaud",31.52,"4.68",488.7,31.63,41.98,49.92
"170",1976,"Rougemont",11.05,"7.76",569.29,53.26,40.55,51.25
"171",1976,"Roxton",28.69,"44.31",95.19,23.56,6.65,92.7
"172",1976,"Roxton Pond",30.67,"68.21",450.75,23.55,14.47,83.9
"173",1976,"Saint Aime",60.18,"80.36",50.46,62.02,9.38,74.11
"174",1976,"Saint Alexandre",62.43,"19.02",451.26,60.31,17.5,55.14
"175",1976,"Saint Alphonse",47.01,"253.66",10538.62,41.98,16.34,72.45
"176",1976,"Saint Amable",0.82,"5.59",5.1,16.51,79.82,35.56
"177",1976,"Saint Anicet",41.69,"0.54",179.47,33.98,13.12,68.45
"178",1976,"Saint Antoine sur Richelieu",39.44,"6.58",7.08,56.4,15.97,51.04
"179",1976,"Saint Armand",40.65,"3.72",12.13,34.93,15.08,75.56
"180",1976,"Saint Barnabe Sud",41.23,"51.57",807.03,73,15.36,65.44
"181",1976,"Saint Basile le Grand",NA,NA,NA,NA,156.09,33.18
"182",1976,"Saint Bernard de Lacolle",34.92,"9.67",530.75,33.27,12.26,53.76
"183",1976,"Saint Bernard de Michaudville",17.28,"20.76",478.29,39.5,7.55,60.95
"184",1976,"Saint Blaise sur Richelieu",34.69,"4.17",173.37,61.45,19.76,44.78
"185",1976,"Saint Cesaire",54.47,"191.38",1719.64,68.38,49.31,57.38
"186",1976,"Saint Charles sur Richelieu",33.93,"6.46",1.19,43.26,17.07,46.29
"187",1976,"Saint Chrysostome",39.02,"1.36",66.83,39.66,13.63,45.18
"188",1976,"Saint Clet",41.15,"7.05",4.61,69.85,25.64,45.72
"189",1976,"Saint Constant",23.03,"17.41",747.05,50.29,124.52,19.71
"190",1976,"Saint Cyprien de Napierville",46.1,"5.92",1349.93,77.06,9.55,43.9
"191",1976,"Saint Damase",23.53,"167.63",1924.71,85.08,27.13,54.1
"192",1976,"Saint David",40.75,"43.99",211.15,52.86,10.63,82.82
"193",1976,"Saint Denis sur Richelieu",48.52,"29.55",99.27,65.44,10.9,52.52
"194",1976,"Saint Dominique",45.85,"241.26",4159.48,48.7,24.2,69.01
"195",1976,"Saint edouard",34.63,"30.84",29.75,70.72,19.59,33.94
"196",1976,"Saint etienne de Beauharnois",61.07,"13.18",57.51,71.09,18.84,34.91
"197",1976,"Saint Georges de Clarenceville",38.86,"15.43",396.05,44.18,11.98,63.76
"198",1976,"Saint Gerard Majella",39.6,"21",5.53,52.2,8.42,87.2
"199",1976,"Saint Hugues",33.23,"346.38",1632.92,64.32,9.08,74.93
"200",1976,"Saint Hyacinthe",33.13,"186.52",1000.67,82.75,230.63,61.5
"201",1976,"Saint Ignace de Stanbridge",46.76,"78.25",63.59,38.2,11.12,70.77
"202",1976,"Saint Isidore",53.23,"1.75",28.97,78.77,36.02,23.98
"203",1976,"Saint Jacques le Mineur",19.34,"46.79",856.21,61.67,15.34,34.34
"204",1976,"Saint Jean Baptiste",28.56,"24.81",3733.04,64.82,39.69,45.67
"205",1976,"Saint Jean sur Richelieu",15.79,"2.49",131.45,41.77,235.87,38.25
"206",1976,"Saint Joachim de Shefford",24.28,"21.08",60.01,16.23,7.2,93.23
"207",1976,"Saint Jude",26.96,"56.34",6195.8,29.7,12.91,63.23
"208",1976,"Saint Liboire",51.22,"241.7",433.16,57.42,21.46,75.27
"209",1976,"Saint Louis",29.77,"59.4",119.18,42.69,13.66,68.51
"210",1976,"Saint Louis de Gonzague",43.89,"0.13",352.36,47.91,13.87,42.01
"211",1976,"Saint Marc sur Richelieu",52.33,"0",11.35,56.31,18.57,42.03
"212",1976,"Saint Marcel de Richelieu",44.91,"127.65",11.54,52.98,11.69,74.44
"213",1976,"Saint Mathias sur Richelieu",31.96,"1.58",8.07,49.64,39.94,37.51
"214",1976,"Saint Mathieu",10.03,"20.47",14.26,55.52,35.48,25.3
"215",1976,"Saint Mathieu de Beloeil",38.73,"0",173.27,75.07,18.94,36.69
"216",1976,"Saint Michel",15.45,"22.76",369.6,63.39,25.57,32.55
"217",1976,"Saint Nazaire dActon",49.91,"192.42",1919.67,63.81,14.54,88.72
"218",1976,"Saint Ours",44.73,"0.24",16.67,47.39,16.37,62.37
"219",1976,"Saint Patrice de Sherrington",23.09,"2.01",135.02,53.75,19.28,41.96
"220",1976,"Saint Paul dAbbotsford",21.89,"168.4",4642.38,35.72,27.33,65.21
"221",1976,"Saint Paul de lIle aux Noix",47.96,"0",679.77,63.19,34.59,53.19
"222",1976,"Saint Philippe",9.31,"14.46",388.26,65.1,35.14,26.6
"223",1976,"Saint Pie",27.96,"194.42",2001.46,66.14,32.33,63.19
"224",1976,"Saint Pierre de Veronne a Pike River",86.85,"183.49",4231.45,91.75,14.01,66.91
"225",1976,"Saint Polycarpe",41.7,"13.09",79.96,75.43,18.26,55.02
"226",1976,"Saint Remi",17.42,"12.9",694.56,55.15,59.09,28.98
"227",1976,"Saint Robert",28.15,"93.45",251.99,34.82,23.47,76.2
"228",1976,"Saint Roch de Richelieu",14.16,"0.28",10.6,21.59,40.09,60.6
"229",1976,"Saint Sebastien",58.95,"50.99",373.87,67.58,12.82,60.24
"230",1976,"Saint Simon",45.5,"244.65",100.16,55.99,15.33,71.19
"231",1976,"Saint Stanislas de Kostka",41.4,"1.39",10.34,47.34,18.81,49.38
"232",1976,"Saint Telesphore",43.75,"10.3",291.44,52.22,11.99,61.32
"233",1976,"Saint Theodore dActon",41.33,"63.3",525.18,39.06,16.29,91.28
"234",1976,"Saint Valentin",53.3,"0.29",4.79,48.1,13.85,50.62
"235",1976,"Saint Valerien de Milton",47.41,"229.21",420.79,51.88,12.84,78.59
"236",1976,"Sainte Angele de Monnoir",37.62,"96.67",91.94,52.58,24.49,49.06
"237",1976,"Sainte Anne de Sabrevois",60.74,"5.7",135.29,58.49,27.52,50.21
"238",1976,"Sainte Barbe",38.39,"0.07",4.41,48.28,22.11,56.86
"239",1976,"Sainte Brigide dIberville",46.19,"76.23",259.92,61.08,16.47,54.61
"240",1976,"Sainte Cecile de Milton",32.95,"87.43",979.63,40.85,17.88,74.52
"241",1976,"Sainte Christine",27.32,"31.21",2635.4,26.38,7.28,102.05
"242",1976,"Sainte Clotilde de Chateauguay",15.67,"4.59",7.7,33.15,14.84,40.35
"243",1976,"Sainte Helene de Bagot",39.83,"192.13",2112.95,55.61,11.02,79.76
"244",1976,"Sainte Julie",NA,NA,NA,NA,165.14,30.74
"245",1976,"Sainte Justine de Newton",29.32,"5.83",1.76,52.19,9.91,57.18
"246",1976,"Sainte Marie Madeleine",NA,NA,NA,NA,17.75,49.89
"247",1976,"Sainte Marthe",40.62,"11.81",1055.9,68.4,10.06,49.64
"248",1976,"Sainte Martine",48.37,"2.32",5.71,70.9,21.62,30.78
"249",1976,"Sainte Sabine",50.36,"53.42",1440.92,49.79,12.3,62.08
"250",1976,"Sainte Victoire de Sorel",25.85,"19.18",0.9,28.21,23.7,69.77
"251",1976,"Salaberry de Valleyfield",38.14,"0.05",2.82,40.18,262.52,40.04
"252",1976,"Shefford",24.5,"23",314.44,17.52,17.31,90.93
"253",1976,"Sorel Tracy",9.14,"0.21",1.24,9.38,590.39,73.27
"254",1976,"Stanbridge East",28.84,"1.88",586.29,27.54,17.82,76.34
"255",1976,"Sutton",8.73,"0.31",3.71,8.43,10.96,100.52
"256",1976,"Tres Saint Redempteur",NA,NA,NA,NA,15.6,54.83
"257",1976,"Tres Saint Sacrement",55.79,"1.33",42.2,55.06,NA,40.99
"258",1976,"Upton",78.07,"156.82",509.65,70.3,25.95,81.76
"259",1976,"Varennes",32.6,"0.03",12.72,69.31,67.64,30.64
"260",1976,"Vaudreuil Dorion",34.34,"27.49",22.93,54.79,207.48,32.7
"261",1976,"Vercheres",39.36,"6.63",12.55,73.23,47.27,39.5
"262",1976,"Yamaska",28.14,"42.53",321.94,39.8,17.14,83.22
"263",1981,"Acton Vale",29.85,"72.01",0,26.14,65.64,90.91
"264",1981,"Ange Gardien",53.61,"1046.62",4080.76,56.93,19.39,65.29
"265",1981,"Beauharnois",NA,NA,0,35.65,137.3,28.92
"266",1981,"Bedford",NA,NA,NA,35.65,105.42,72.18
"267",1981,"Bethanie",39.07,"192.75",4.88,27.43,7.85,100.63
"268",1981,"Bolton Ouest",14.06,"5.91",0.26,9.73,5.88,104.47
"269",1981,"Boucherville",9.71,"0",0,33.07,403.75,23.69
"270",1981,"Brigham",27.3,"87.8",771.86,27.06,NA,76.77
"271",1981,"Bromont",19.08,"94.8",0.4,12.85,22.55,83.1
"272",1981,"Calixa Lavallee",26.86,"0",0,39.67,12.7,43.5
"273",1981,"Carignan",5.45,NA,NA,45.83,68.17,30.35
"274",1981,"Contrecoeur",NA,NA,13.24,9.8,86.93,54.24
"275",1981,"Coteau du Lac",28.28,"0.12",0,47.13,NA,45.58
"276",1981,"Dundee",28.17,NA,0,28.65,4.96,81.61
"277",1981,"Dunham",24.74,"43.63",441.33,24.21,14.15,83.27
"278",1981,"Elgin",29.28,"3.57",0.15,28.61,6.23,69.88
"279",1981,"Farnham",46.3,"69.8",0,36.04,82.53,63.75
"280",1981,"Franklin",23.64,"18.34",14.25,29.1,14.6,54.58
"281",1981,"Frelighsburg",9.96,"24.76",NA,13.46,7.88,87.55
"282",1981,"Godmanchester",39.62,"1.16",0.29,47.04,11.58,64.82
"283",1981,"Granby",52.88,"209.24",1403.52,37.69,525.07,78.71
"284",1981,"Havelock",11.62,NA,0,11.82,7.29,53.51
"285",1981,"Hemmingford",17.59,"5.11",NA,19.59,15.19,52.7
"286",1981,"Henryville",56.77,NA,0,67.8,20.55,56.76
"287",1981,"Hinchinbrooke",32.59,"2.35",0.35,30.48,13.17,61.28
"288",1981,"La Presentation",NA,"193.93",4314.6,63.96,16.25,53.82
"289",1981,"Lac Brome",15.53,"53.74",17.09,11.02,19.9,94.39
"290",1981,"Lacolle",50.21,NA,0,49.83,16.8,56.42
"291",1981,"Les Cedres",21.08,"0.5",0,32.17,38,36.92
"292",1981,"Longueuil",0,NA,0,7.35,1701.32,20.69
"293",1981,"Marieville",67.39,NA,11.61,72.69,107.91,43.36
"294",1981,"Mont Saint Gregoire",38.23,"246.81",NA,47.58,30.56,47.8
"295",1981,"Mont Saint Hilaire",5.43,NA,0,18.5,197.3,42.17
"296",1981,"Notre Dame de Stanbridge",NA,"76.11",0,48.81,18.77,63.95
"297",1981,"Noyan",NA,NA,3.45,76.76,14.88,60.59
"298",1981,"Ormstown",35.23,"23.22",587.6,39.75,25.38,50.44
"299",1981,"Richelieu",NA,NA,0,62.56,91.68,38.89
"300",1981,"Rigaud",31.43,NA,0,31.61,45.84,49.92
"301",1981,"Rougemont",NA,"168.48",0,43.34,45.58,51.25
"302",1981,"Roxton",25.6,"223.67",NA,22.56,6.93,92.7
"303",1981,"Roxton Pond",24.22,"288.12",261.21,16.83,NA,83.9
"304",1981,"Saint Aime",51.83,"137.17",0,66.89,9.3,74.11
"305",1981,"Saint Alexandre",NA,"62.46",0,67.01,18.36,55.14
"306",1981,"Saint Alphonse",37.88,"833.77",13275.52,43.64,24.11,72.45
"307",1981,"Saint Amable",NA,NA,12.3,18.68,108.91,35.56
"308",1981,"Saint Anicet",42.35,NA,NA,38.17,14.01,68.45
"309",1981,"Saint Antoine sur Richelieu",34.05,NA,10.06,66.03,21.92,51.04
"310",1981,"Saint Armand",38.76,"6.93",19.41,36.02,14.7,75.56
"311",1981,"Saint Barnabe Sud",NA,"154.08",0,91.26,14.34,65.44
"312",1981,"Saint Basile le Grand",NA,NA,0,24.84,204.44,33.18
"313",1981,"Saint Bernard de Lacolle",32.56,"11.43",1.58,32.23,12.72,53.76
"314",1981,"Saint Bernard de Michaudville",11.61,"45.66",0,37.9,7.49,60.95
"315",1981,"Saint Blaise sur Richelieu",31.12,NA,0,62.19,22.41,44.78
"316",1981,"Saint Cesaire",43.37,"315.82",1610.91,78.97,53.43,57.38
"317",1981,"Saint Charles sur Richelieu",NA,NA,1.12,53.23,21.46,46.29
"318",1981,"Saint Chrysostome",37.76,"23.08",0,35.41,14.62,45.18
"319",1981,"Saint Clet",NA,NA,0,78.27,26.58,45.72
"320",1981,"Saint Constant",NA,"29.26",NA,51.43,161.99,19.71
"321",1981,"Saint Cyprien de Napierville",36.28,"7.18",NA,73.1,10.86,43.9
"322",1981,"Saint Damase",NA,"265.03",1814.66,100.7,28.36,54.1
"323",1981,"Saint David",35.44,"83.26",0,58.91,10.57,82.82
"324",1981,"Saint Denis sur Richelieu",32.98,"60.6",528.61,68.58,22.82,52.52
"325",1981,"Saint Dominique",NA,"700.36",4634.6,54.6,28.24,69.01
"326",1981,"Saint edouard",30.47,"44.74",NA,65.59,20.82,33.94
"327",1981,"Saint etienne de Beauharnois",65.95,NA,0,66.14,18.88,34.91
"328",1981,"Saint Georges de Clarenceville",33.32,"34.06",0.33,44.59,13.05,63.76
"329",1981,"Saint Gerard Majella",35.28,"9.87",0,46.22,7.83,87.2
"330",1981,"Saint Hugues",32.35,"935.23",1413.59,69.91,14.12,74.93
"331",1981,"Saint Hyacinthe",12.03,"218.16",819.32,69.41,244.07,61.5
"332",1981,"Saint Ignace de Stanbridge",40.56,"149.7",NA,41.22,10.83,70.77
"333",1981,"Saint Isidore",48.77,"13.42",0,79.36,41.19,23.98
"334",1981,"Saint Jacques le Mineur",16.17,"58.33",1221.13,66.88,16.99,34.34
"335",1981,"Saint Jean Baptiste",22.75,"59.97",2855.96,64.92,48.96,45.67
"336",1981,"Saint Jean sur Richelieu",NA,"7.77",3.11,48,263.9,38.25
"337",1981,"Saint Joachim de Shefford",25.82,"219.68",0.24,15.6,7.99,93.23
"338",1981,"Saint Jude",25.62,"90.67",3264.05,32.41,13.94,63.23
"339",1981,"Saint Liboire",63.61,"524.22",794.3,64.66,25,75.27
"340",1981,"Saint Louis",25.73,"136.75",0,45.24,14.21,68.51
